date,apy24h,volume24hUsd,feesAndRewards24hUsd,cumulativeFeesAndRewardsUsd,stakingYieldA,stakingYieldB
2023-02-23T00:00:00.000Z,0.12521255199767088500366108851020181112,4146.6161623348,2.1177896234,2.418291957,,
2023-02-23T01:00:00.000Z,0.128390597830443858552588756018556599126,5105.3267537833,2.4597480756,2.7602504092,,
2023-02-23T02:00:00.000Z,0.132838579732466192705928536052816436075,6609.7528349364,2.9544467883,3.254949122,,
2023-02-23T03:00:00.000Z,0.136061410770701019887647745970847132684,6979.0655851813,3.3175584897,3.6180608234,,
2023-02-23T04:00:00.000Z,0.138653938162663439826817166205204746566,7113.6402027974,3.6077313516,3.9082336853,,
2023-02-23T05:00:00.000Z,0.140883504265920131260606064744279018527,7608.1899918159,3.9534536307,4.2539559643,,
2023-02-23T06:00:00.000Z,0.143146562670295534381923496214464573351,8104.1287841574,4.3025041989,4.6030065325,,
2023-02-23T07:00:00.000Z,0.145657944490568413711171249997118246679,8379.9081011768,4.6920466708,4.9925490044,,
2023-02-23T08:00:00.000Z,0.148298328659941812903720952319046523051,8978.3200141676,5.1078333184,5.408335652,,
2023-02-23T09:00:00.000Z,0.069463665228579807976258051595371223716,10832.905587419,5.5879055995,5.9880664488,,
2023-02-23T10:00:00.000Z,0.069071599285865841375484619284296091881,11165.7782072028,6.0407375873,6.4446498069,,
2023-02-23T11:00:00.000Z,0.069592862872546753520938410135704446337,14275.1787596195,6.6905107663,7.0984722849,,
2023-02-23T12:00:00.000Z,0.068633093419076889076334753285813869106,14903.5497174641,7.145259373,7.5577621747,,
2023-02-23T13:00:00.000Z,0.067696402853613941278125334241992692446,16030.8434554156,7.6476625342,8.0645323306,,
2023-02-23T14:00:00.000Z,0.066734325205578267125925016522331774761,18540.2966633831,8.5059931486,8.9273440591,,
2023-02-23T15:00:00.000Z,0.06475542208078843706828250482905216688,19735.6257349449,9.1725926092,9.5989882402,,
2023-02-23T16:00:00.000Z,0.065097404038381048262829181329143158676,19822.3081099763,9.9212741935,10.3560450884,,
2023-02-23T17:00:00.000Z,0.06416844164313685795973307691849104959,20000.6078955685,10.5091254615,10.9666998035,,
2023-02-23T18:00:00.000Z,0.063570685873068791499298263893691036611,20252.1332668948,11.1246653196,11.6614913691,,
2023-02-23T19:00:00.000Z,0.062755100235247682199338391309774210351,20727.7033677309,11.6409488599,12.4207011975,,
