time,total_apy,mev_apy
2022-11-29,6.93,0.000017189325984823256
2022-11-30,6.93,0.00001744677764481395
2022-12-01,6.93,0.000017696870302508216
2022-12-02,7.17,0.0000011691007051339852
2022-12-03,7.17,0.0000011706324798410606
2022-12-04,7.35,0.000021389842075336674
2022-12-05,7.35,0.000021332825994591076
2022-12-06,7.5,0.00001451565738719296
2022-12-07,7.5,0.000014518331914459282
2022-12-08,7.59,0.0000011015081069487564
2022-12-09,7.59,0.0000011020430124020208
2022-12-10,8.28,0.000018637906951113337
2022-12-11,8.28,0.000018440380911144416
2022-12-12,8.27,0
2022-12-13,8.27,7.397742418646658e-7
2022-12-14,8.27,7.392393364114014e-7
2022-12-15,8.24,0.0000010104201919602929
2022-12-16,8.24,9.980525295105735e-7
2022-12-17,8.23,9.223066754771025e-7
2022-12-18,8.23,9.105063369929667e-7
2022-12-19,8.23,8.980333143782104e-7
2022-12-21,8.12,0
2022-12-22,8.12,3.122389014009741e-7
2022-12-23,8.12,3.111042534698072e-7
2022-12-24,8,1.998196053065726e-7
2022-12-25,8,1.9912260729171294e-7
2022-12-26,7.92,2.0749468809810878e-7
2022-12-27,7.92,2.067085391743717e-7
2022-12-28,7.83,3.050338870380642e-7
2022-12-29,7.83,3.1006686107559744e-7
2022-12-30,7.69,0
2022-12-31,7.69,2.0875090545047215e-7
2023-01-01,7.69,2.0803769817945295e-7
2023-01-02,7.58,1.235874735883158e-7
2023-01-03,7.58,1.235631597040765e-7
2023-01-04,7.42,1.8712775773366275e-7
2023-01-05,7.42,1.8024692849394341e-7
2023-01-06,7.42,1.8030366089050176e-7
2023-01-07,7.42,1.7981738320571594e-7
2023-01-10,7.21,2.664072296099107e-7
2023-01-11,7.21,2.6642343886607023e-7
2023-01-12,7.05,1.6122536639073815e-7
2023-01-13,7.05,1.6103085531682382e-7
2023-01-14,7.05,1.612334710188179e-7
2023-01-15,7.05,1.6122536639073815e-7
2023-01-16,6.9,1.6073098407787256e-7
2023-01-17,6.82,0.000001973290553181073
2023-01-18,6.82,0.0000019685736596386505
2023-01-19,6.82,0.00000196927065765351
2023-01-20,6.73,0.00010383341222386377
2023-01-21,6.73,0.0001045283848144507
2023-01-22,6.63,0.0000021922127668716485
2023-01-23,6.63,0.0000021866205734966115
2023-01-24,6.63,0.0000021873418853957105
2023-01-25,6.5,0.000023932410364579937
2023-01-26,6.5,0.0000257582214224783
2023-01-27,6.47,0
2023-01-28,6.47,0.001990682682384559
2023-01-29,6.47,0.0019900008021656035
2023-01-30,6.47,0.001983550192763417
2023-02-01,6.4,0
2023-02-02,6.4,0.006092247882460988
2023-02-03,6.4,0.00610046464322167
2023-02-04,6.38,0.0026610779087610226
2023-02-05,6.38,0.002889651928628112
2023-02-06,6.38,0.002888228017927652
2023-02-07,6.47,0.0033377399877521086
2023-02-08,6.47,0.0033514467731032838
2023-02-09,6.55,0.003489834119840829
2023-02-10,6.55,0.0032583440102929018
2023-02-11,6.55,0.0032529620383137114
2023-02-12,6.58,0.003462056805436653
2023-02-13,6.58,0.0034596222937555154
2023-02-14,6.61,0.0033943986781137525
2023-02-15,6.61,0.0033993313785840584
2023-02-16,6.61,0.0033857882084431523
2023-02-17,6.63,0.005197816949920053
2023-02-18,6.63,0.005133754807262747
2023-02-19,6.6,0.003031733082314858
2023-02-20,6.6,0.002676566589432383
2023-02-21,6.6,0.0026752012311392903
2023-02-22,6.62,0.0023403460793103292
2023-02-23,6.62,0.002330794528337954
2023-02-24,6.52,0
2023-02-25,6.52,0.00515771011577737
2023-02-26,6.52,0.0051605534709509016
2023-03-01,6.5,0.003515080140048532
2023-03-02,6.53,0.0034630053876494316
