timestamp,reserve,symbol,borrowInterestAPY,supplyInterestAPY,totalBorrows,totalSupply,totalLiquidity,borrowTvl,depositTvl,assetPriceUSD
2023-10-12T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.00009999925246972907,0,0,0.2,0.2,0,4.250081122,21.30160824999999955618162385262427207698
2023-10-13T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.00009999925246972907,0,0,280.4,280.4,0,5963.470656408,21.27302895999999955652738026223858937581
2023-10-14T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.005288182020359189,0.0001912397866290494,10.24751091218832763463952124350515232643,282.6432337712919422913033440369843596751,272.395726572,223.6556307485556614377471314048007512472,6168.790769546048988822350327244253661974,21.7999999999999995455024492940765507252
2023-10-15T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.005284929809597827,0.0001910016595720876,10.24769411251310765324176101927681370642,282.8248823531098459570526895814586579916,272.577210274,225.4011063129595567653485061472993005168,6220.818134821356994779161023151057620122,22.00285226999999954160566188743343007382
2023-10-16T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.005285028361284416,0.00019101566704460282,10.2478759237740270064858843540098117013,282.8250459832446733749724952119707068956,272.577210274,224.8019731273337270716695295590627504122,6204.176246841947128309639477712555689087,21.92865780999999954287861932133997086127
2023-10-17T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.012564578461717657,0.0010842786222502454,24.54878907118543061542911277272757781886,282.8498688839149365932528911909290424158,258.301167916,588.9074781402352470340994720728559334692,6785.361285793106792425355671093804672221,24.00109411999999950001831200419034548183
2023-10-18T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.011875202797973383,0.0009687185774729379,23.1096266303020724393242000926486554165,281.760305734236450928202232319168590964,258.650864463,553.9446832163297669923328734808160649301,6753.879056541367999684285969360166875984,23.98098977999999950037911713995876158188
2023-10-19T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.007484119193409633,0.0007328173130085602,29.11255129124155864566000137296178417609,296.3197025864318788278280236847495276754,267.207409385,681.0839836797780301696281693514450466122,6932.357163114408773076565459602295859903,23.57903871999999950897278111483502583607
2023-10-20T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.0048355501377010945,0.00030438456618386844,29.15708745347064810941499290809119976194,462.1476357760439446056950793398227379995,432.990856302,727.0638271461956564789640541956567939715,11524.15615277445386690853351070010158777,24.86308522999999948169081102899992088228
2023-10-21T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.04102298150175265,0.021767158236664086,248.015994247841755341692161084160103516,463.0510164928574453441877429369343264169,215.036492253,6711.622824339407701740366994138727601272,12530.73932006733854282040055855211404074,27.0080975799999994369692495055357401377
2023-10-22T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.05406135223838815,0.03764384578200475,748.7930333031476333284244653255644353829,1066.88124794819338496087508808635061717,318.099074009,21942.51925311556608711449459812766710769,31263.7288045035402876211089226317671934,29.35606448999999938888898577682430463912
2023-10-23T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.060803242790752554,0.047549461786951186,788.9250341685468999443241150730472833129,1002.42510019834113523148188961456035929,213.524866176,22914.72207994252898233286608435419486746,29115.93824781091744336600722479971291575,28.96521054999999939663208013695962085648
2023-10-24T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.04136387254931373,0.022127481301036367,837.3744904164020245258358938038942721921,1550.703523291784937610815314155758481758,713.366120792,26705.96593560510324193920207594474712755,49455.81211658325422415997399028240260109,31.8799165699999993358135944726550331002
2023-10-25T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.052006845114331846,0.034855914989939896,1048.84223095487811610280176153897382715,1551.975935481452034333476273069699742642,503.186300448,31614.41177995543398330359436628719373862,46779.96828200081512337501169471812977851,30.12624699999999937271618483114467208669
2023-10-26T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.029704363157610825,0.01146972114770839,1212.016314379465391646315822477371522837,3110.808120623813667471345939005936115275,1898.861864114,39308.2606830612604255794016100006580734,100890.1077400682920189828428049220534533,32.46494823999999932380541356469196032491
2023-10-27T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.033850824738407725,0.014866388592993607,1379.194401671962535417077405621669129376,3111.264610697442310962225360823442865074,1732.153955089,45220.67949184300501400646641433371852548,102011.3622880890209905584124420818744024,32.83357328999999931624431771803875082007
2023-10-28T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.036421321583756994,0.01719026940196411,1522.149480205202929951927872296380054752,3194.712956591209363093200180817323665663,1672.663819298,48263.58703494741066816910238786259305301,101296.4290546074871412128913565651379216,31.71306666999999933951315249369697067308
2023-10-29T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.03742051310635919,0.018138623929719655,1562.556835764872506093868104459828361751,3193.245832198111981537325923187931427021,1630.808333318,49425.17086348591201221044082292556507642,101005.4272926652768818312773077829051615,31.65069990999999934055894788842434857625
2023-10-30T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.04020903050236768,0.020918662774596752,1678.335285248343206400316069042274880189,3195.689078934535611572631254306957085967,1517.492902259,55222.26589052623652018959961969797038285,105147.7577641830252275742861604618089995,32.89649998999999931440993437836707619627
2023-10-31T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.047811880439732946,0.029496421786778138,1987.146391212657440357020358938212038275,3192.423693248124637934732424533059479102,1205.441539862,69457.28391497359637498361651811477423246,111585.6787498722559574126284695730335497,34.92659999999999927211002948013175833701
2023-11-01T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.05523792784904624,0.03928886194490877,2288.366437415342852879389232890655912501,3192.520463772113423165437449080075255788,904.354723282,87937.33117759022567870976747413331216789,122682.1564605070806874136697409194496697,38.44084625999999919912828730272915113846
2023-11-02T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.05513806019320322,0.03914786238112988,2283.836602309492572166679301893190436739,3191.791530982071684148199674815604334444,908.194356968,94003.68040839619697788421507626728202534,131375.4892557784381474758417305347506729,41.40552712999999913761769033959671678609
2023-11-03T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.05612950051195198,0.04055890871276646,2325.105324348935097144709663769984096567,3193.440731074861378730244378096609246595,868.614960998,90740.67643859722859001606879892600894499,124628.75082247845609978830761689975883,39.32851003999999918099898715828645662936
2023-11-04T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.0595635381035764,0.0456406793591706,2463.178698831863138060405180770621915006,3192.892271409802926100504665391935516643,730.032034972,97227.16090995870884785655502575561616716,126030.5842965211718887297999034025697184,39.67011834999999917397459740786571146029
2023-11-05T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.059849360420666464,0.046077249110853646,2475.840830517039758130924858382659364869,3194.342590195661884138816030297594231065,718.866416238,105074.684847143167335076450989760063445,135567.8995279038903628513523258298991663,42.5151513599999991141097499536272337322
2023-11-06T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.053958127217445195,0.03750120955544989,2239.356533234235675521605309563850743048,3196.219732998361455777255501198405811731,957.271010644,92283.882734582852188245354807126289121,131716.2151968624755925806992043863035014,41.48206891999999913619857377922175011994
2023-11-07T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.055552902408641636,0.03973522954399833,2304.452332523872707294069987688177867642,3196.935241588940590828261352375332295905,892.931064209,97163.3623883992354850361960050311968788,134793.405368706193465998373399377639505,42.09744731999999912327072054685219319866
2023-11-08T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.057696113188512754,0.04283977729754973,2386.857967736290337353524884189362370158,3191.752135920913771888068204104762256687,805.383442627,102514.2237669354426727575580909507983378,137083.9811556567124835825137903058821994,42.98551812999999910433094892081575454789
2023-11-09T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.0946059553893599,0.07698929943107302,2653.210537682654704075171966763050433558,3233.61512804179628107204101648127045887,580.98596235,114475.4422885769600184685910567827180817,139517.5832133278282649656459518167221241,43.17488835999999910089202442842195235148
2023-11-10T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.06124615798925204,0.0482410181964521,2581.087304114470204674119653625720307977,3256.595863213101273827006430355299044503,676.140791077,116928.6636480747643086303231139440887932,147530.6169304486852866067467401501134593,45.26749999999999905761147167559956557812
2023-11-11T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.06072441800917705,0.04742692444792418,2585.993169161806189868834745639081462664,3290.048908294098793695630027398801995771,704.735614813,146603.5905798135795829037778148696084398,186517.5008545937142551423096438228281309,56.89331999999999881514917143832124303942
2023-11-12T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.05938254777573415,0.04536530618530721,2533.535392150363713097362560453209156446,3294.162924567355267976751547232926148817,761.352949106,142589.7423979474993165729301820147773639,185398.5716111327683500133104750428395221,57.51277366999999880276455553607120313249
2023-11-13T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.058911714225352796,0.04465286757574605,2509.708406150529279302131037651579518282,3288.568743958348557984320014931293494112,779.632232633,141250.7082561246047770030281805040729042,185086.3084710128342820588502953924943061,55.95044374999999883482418826241569159379
2023-11-14T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.0583473518324924,0.04380640289024518,2471.713253638689535978495053089978806152,3269.283483907591534065386320135826443726,798.385890714,127619.9106723208119688796326716704281399,168800.1897325950420422789447895571042421,51.9267799499999989189917570103771862976
2023-11-15T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.059421879902617825,0.04542505426008714,2516.942637653480944224250687230954921286,3270.480779753267166816428052022829722424,754.397530801,143002.9498440310759985390303461534344157,185816.0738017236129197177979189524178054,57.18999999999999880911233374192195447654
2023-11-16T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.061701614114524794,0.04895740229777368,2695.516391350874875952079995282235720275,3376.558841604080234639188263798670997533,681.951646609,176492.6735154129270206266741618714418028,221084.8723268760404929398186954077452665,65.53519640999999863492938269315948928714
2023-11-17T00:00:00.000Z,d4A2prbA2whesmvHaL88BH6Ewn5N4bTSU2Ze8P6Bc4Q,SOL,0.055207928137104956,0.039246478562196874,3212.682596297807511025229467039130335811,4484.699689139744348887031209784731165388,1272.984852304,185746.3550725587577650902556821557808838,259290.046832726799927611362371823069975,58.03887486999999879156136438351778778857
